iso3,gdp_usd,gdp_per_capita_usd,govt_revenue_pct_gdp,govt_expenditure_pct_gdp
JOR,53352289577.4648,4618.09592498567,23.2463327043058,28.4369963842512
KEN,120339557905.932,2132.43452097647,18.6388294257783,27.8446410955634
KGZ,17478259659.2625,2420.18542283831,31.6125287881916,23.7050047610836
KHM,46352647037.2406,2627.87969756224,13.7594390632248,12.9497206702999
KIR,307862564.489711,2288.63471423684,81.0745050588804,84.5644527917589
LAO,16502933121.3379,2123.97909415109,13.9139885255551,10.3160241648868
LBN,20078620356.9931,3477.72489842684,13.4502729024075,6.29571108447612
LKA,98963185509.6499,4515.56787322732,11.1190517645773,18.1135068059197
LSO,2271759454.51107,971.90771824829,44.2378749156537,40.2346111006294
MAR,160610994054.734,4153.1943359375,26.1522312520082,26.6111381429324
MMR,74068349523.8095,1359.05001560107,14.3891961645863,13.7755198098588
MRT,10908045686.8808,2110.12036938187,,
NAM,13372354511.716,4413.12752211572,35.5486967892555,36.4955503604922
NGA,252261880141.151,1084.16041805436,,
NIC,19693982967.5926,2847.53966339498,21.5219298022886,16.2819508478816
NPL,42914268286.7109,1447.31004458428,16.5336746124968,19.4418821873399
PAK,371570000121.266,1478.77277977996,,
PHL,461617509782.355,3984.8315387656,16.6951628160181,16.8805903401184
PNG,31800428265.5246,3006.70564478923,16.8608363352246,20.3235696640344
PSE,13711100000.0,2592.30591217647,,26.1664917273852
SEN,32808056600.9436,1773.21829923448,24.1739336241686,23.5632436487827
SLB,1583964703.75061,1933.55538435227,24.6272216717746,28.8903334458529
STP,822154621.088897,3490.56883486557,,
SWZ,4858885840.77236,3909.55892378182,25.0880373762125,24.6155754063595
TJK,14204575548.5536,1341.20229027672,18.9807277216363,11.0194157341873
TLS,1865608515.41321,1331.9705130185,51.4675238401168,52.4935014691698
TUN,51332285656.5422,4181.13789301228,,
TZA,78844405385.2195,1186.71691894531,14.5492973125506,16.4222146538124
UZB,114965293466.611,3161.70010632875,20.2816265943835,23.4077199970825
VNM,476388230307.175,4717.29028732449,,
VUT,1117972034.22642,3410.77023167097,25.7295337784867,28.3371088388645
ZMB,25303185342.2511,1187.10943350064,21.9673977518021,25.1370961006544
ZWE,41539411516.4448,2497.20332208763,8.11695829520314,10.9772842777823
ALB,27046429296.6673,11377.7757431099,26.1165231553122,25.4359718739727
ARG,638365455340.04,13969.7836603737,16.8606958335516,21.00878925888
ARM,25955275380.0321,8556.21406956719,24.1409039589361,20.9471499751251
AZE,74315882352.9412,7283.8499076179,39.7805578193171,23.0088211493834
BIH,29613572022.8993,9358.78768951134,37.7957798423767,35.2955105967778
BLR,75961865471.9129,8317.63399913792,29.1198526202944,28.4675083787373
BLZ,3203631800.0,7681.24400583113,,
BRA,2185821648943.86,10310.5488778166,26.4469343560039,32.4311004876146
BWA,19402063512.9066,7695.75319445165,28.1737566957243,26.3691849239333
CHN,18743803170827.2,13303.1481543868,14.9215564859108,
COL,418818154879.271,7919.20886825345,25.9527799478132,33.3358903472043
CPV,2725414150.72735,5192.48157325878,21.5670295735424,30.88206490392
CUB,107352000000.0,9605.27914559614,,
DMA,688881481.481481,10405.2787777582,,
DOM,124282245638.568,10875.6618443092,17.4959013786011,18.066236602366
DZA,269322281664.773,5752.99076651465,,
ECU,124676074700.0,6874.705739766,30.9625405355437,30.4365983203311
FJI,5968125909.27126,6425.74151715712,26.6155546921514,27.7596127035997
GAB,20895684425.6752,8230.04311451151,15.1149123543005,14.0519584891303
GEO,34189423544.9955,9241.49122313713,28.7080700932836,25.241719707501
GNQ,12765777677.0622,6745.40013244916,26.4498757804947,11.0452921646904
GRD,1371918518.51852,11705.0902976658,,
GTM,113199581158.203,6150.02571438505,12.7788298523869,13.5008017351529
IDN,1396300098190.97,4925.43048751861,,
IRN,475252089215.416,5190.16959024821,,
IRQ,279641257615.385,6073.61032342708,38.6038295065324,27.6121352770907
JAM,22014397089.7689,7753.8006955432,26.937333176305,27.4675611588785
KAZ,291480274648.826,14154.6324958076,16.5366535632741,17.4457811545455
LBY,48487151215.345,6569.16408678648,,
LCA,2549062962.96296,14181.6303351598,,
MDA,18200340853.6517,7576.19589413326,29.4018819805652,34.4725442262112
MDV,7061608267.25451,13379.3513577224,24.7786698558959,29.475529855381
MEX,1856365616165.94,14185.7812248529,19.1627563559157,22.4106159687135
MHL,290108489.990234,7726.33668877794,31.277088502895,59.4431771972105
MKD,16951682245.4202,9291.85661671864,29.3769017621119,33.3785817447945
MNE,8270016670.86774,13263.3281277699,,
MNG,23794540024.5132,6750.6301157724,31.6089010017176,31.6966486780552
MUS,14937861786.17,11990.7798944837,24.7075650077302,29.1424031344469
MYS,422227005428.688,11874.4273684245,16.7996896751835,17.0088733715367
PER,289221969062.941,8452.37167056621,20.6771966687553,22.846765924466
PRY,44458118397.4445,6416.09708970845,18.7875124788996,18.9555342614778
SLV,35364960000.0,5579.65969165029,26.8850862548692,27.6800868672893
SRB,90097765959.1114,13679.2065983557,38.6499916194589,35.4627580017931
SUR,4416775112.09627,6961.78955961526,,
THA,526517658841.684,7346.62022142185,20.34632257645,20.7664684607695
TKM,51387209872.2994,6856.65802730208,,
TON,591139749.44287,5651.59373063157,22.6409780813941,34.6540011081055
