iso3,country_name,income_group,gdp_usd,actual_contribution_usd,adjusted_target_usd,gap_usd,giving_rate,p_donate,pred_donation_usd,expected_contribution,donor_segment,imr,unga_alignment_score,wb_vote_share_score,ifc_presence_score,alignment_score,excluded_components
KEN,Kenya,LMC,120339557905.932,0.0,665628.9762281111,665628.9762281111,0.0,0.06247074617992917,53377540.48680087,665628.9762281111,Low Probability,1.9679461312071251,,0.0,100,50.0,unga_alignment_score
VEN,"Venezuela, RB",UMC,119802963257.783,0.0,656770.8023918979,656770.8023918979,0.0,0.061915468407249444,62600013.612262644,656770.8023918979,Low Probability,1.9718143839593516,,0.0,0,0.0,unga_alignment_score
LKA,Sri Lanka,LMC,98963185509.6499,0.0,656507.7004710917,656507.7004710917,0.0,0.074923670256709,51617695.35687104,656507.7004710917,Low Probability,1.8878616360476743,,0.0,0,0.0,unga_alignment_score
BHR,Bahrain,HIC,47109734308.5106,0.0,654751.6959873993,654751.6959873993,0.0,0.15697079679148412,27140528.59602009,654751.6959873993,Low Probability,1.5307330759385682,,0.0,0,0.0,unga_alignment_score
ETH,Ethiopia,LIC,149740297952.986,0.0,622072.3631964053,622072.3631964053,0.0,0.04691968632657354,64209272.10767936,622072.3631964053,Low Probability,2.089148663394918,,0.0,100,50.0,unga_alignment_score
AGO,Angola,LMC,100998916781.079,0.0,589973.9996150014,589973.9996150014,0.0,0.06597342670064689,60775200.23071567,589973.9996150014,Low Probability,1.9441803739828505,,0.0,0,0.0,unga_alignment_score
GHA,Ghana,LMC,82308110386.4641,0.0,547716.391558348,547716.391558348,0.0,0.07515640404888123,44101539.85416114,547716.391558348,Low Probability,1.8864724350142235,,0.0,100,50.0,unga_alignment_score
CIV,Cote d'Ivoire,LMC,87113179149.284,0.0,534107.9975211525,534107.9975211525,0.0,0.06924654399840557,47152744.38477342,534107.9975211525,Low Probability,1.9228952575391385,,0.0,0,0.0,unga_alignment_score
JOR,Jordan,LMC,53352289577.4648,0.0,467893.6839215459,467893.6839215459,0.0,0.09904829560510003,37182809.5889083,467893.6839215459,Low Probability,1.7595061694050438,,0.0,0,0.0,unga_alignment_score
LBY,Libya,UMC,48487151215.345,0.0,449720.10868578043,449720.10868578043,0.0,0.10475349555231328,38813452.035809256,449720.10868578043,Low Probability,1.732892379477033,,0.0,0,0.0,unga_alignment_score
